investor_id,total_transactions,avg_gap_days,max_gap_days,risk_flag
INV001265,7,57.5,217,at-risk
INV001269,10,56.4,107,at-risk
INV001274,12,45.4,141,at-risk
INV001275,12,39.0,99,at-risk
INV001280,6,83.6,169,at-risk
INV001281,6,88.8,291,at-risk
INV001282,8,54.9,119,at-risk
INV001284,11,50.6,124,at-risk
INV001287,9,57.6,116,at-risk
INV001288,8,39.1,148,at-risk
INV001291,7,63.5,181,at-risk
INV001295,10,45.1,165,at-risk
INV001298,11,43.1,113,at-risk
INV001299,12,40.4,101,at-risk
INV001300,7,75.0,127,at-risk
INV001304,12,44.4,114,at-risk
INV001308,12,41.6,147,at-risk
INV001310,8,58.0,180,at-risk
INV001312,11,43.7,108,at-risk
INV001314,10,50.4,130,at-risk
INV001315,10,48.9,124,at-risk
INV001316,10,51.3,166,at-risk
INV001317,11,42.4,96,at-risk
INV001318,11,41.6,150,at-risk
INV001319,8,33.6,76,at-risk
INV001320,11,45.2,163,at-risk
INV001321,7,75.8,129,at-risk
INV001322,7,80.8,136,at-risk
INV001325,7,82.5,174,at-risk
INV001326,12,44.2,182,at-risk
INV001329,10,46.9,97,at-risk
INV001331,10,52.8,100,at-risk
INV001332,9,60.0,168,at-risk
INV001333,12,45.5,185,at-risk
INV001334,10,50.3,112,at-risk
INV001336,9,57.6,198,at-risk
INV001342,9,54.2,255,at-risk
INV001343,6,56.0,88,at-risk
INV001345,8,65.0,157,at-risk
INV001346,7,76.5,205,at-risk
INV001348,11,40.9,121,at-risk
INV001350,8,71.1,287,at-risk
INV001351,12,40.9,144,at-risk
INV001352,6,64.8,139,at-risk
INV001353,7,57.3,134,at-risk
INV001354,9,53.1,150,at-risk
INV001355,11,40.2,128,at-risk
INV001356,11,39.6,109,at-risk
INV001359,9,54.4,143,at-risk
INV001361,9,37.9,93,at-risk
INV001363,7,50.7,125,at-risk
INV001366,9,54.4,98,at-risk
INV001367,7,82.5,222,at-risk
INV001369,9,50.6,131,at-risk
INV001370,7,81.0,164,at-risk
INV001374,7,55.8,101,at-risk
INV001375,12,44.9,176,at-risk
INV001376,7,78.7,181,at-risk
INV001377,8,65.1,113,at-risk
INV001378,6,79.2,128,at-risk
INV001379,7,48.3,74,at-risk
INV001383,10,44.0,117,at-risk
INV001384,10,43.6,149,at-risk
INV001386,7,51.8,133,at-risk
INV001387,9,57.2,130,at-risk
INV001388,6,70.6,124,at-risk
INV001389,6,87.0,158,at-risk
INV001390,6,82.0,201,at-risk
INV001391,8,68.7,177,at-risk
INV001392,8,52.0,99,at-risk
INV001394,9,55.6,136,at-risk
INV001395,8,56.0,151,at-risk
INV001397,11,48.1,124,at-risk
INV001398,11,45.5,131,at-risk
INV001399,7,62.3,160,at-risk
INV001400,11,38.4,122,at-risk
INV001401,10,38.1,102,at-risk
INV001402,9,61.6,151,at-risk
INV001406,12,39.0,128,at-risk
INV001407,10,39.6,116,at-risk
INV001409,7,32.3,60,at-risk
INV001410,8,61.0,118,at-risk
INV001411,8,65.1,151,at-risk
INV001413,8,56.0,125,at-risk
INV001415,10,53.0,173,at-risk
INV001418,9,57.6,187,at-risk
INV001419,8,61.3,110,at-risk
INV001421,8,63.1,164,at-risk
INV001423,11,34.0,89,at-risk
INV001424,6,93.0,156,at-risk
INV001428,12,44.2,76,at-risk
INV001432,7,59.5,109,at-risk
INV001433,6,99.2,307,at-risk
INV001434,9,60.4,178,at-risk
INV001439,7,56.3,104,at-risk
INV001442,12,41.5,238,at-risk
INV001443,6,57.2,82,at-risk
INV001448,6,47.8,96,at-risk
INV001449,7,48.5,126,at-risk
INV001454,8,62.6,176,at-risk
INV001455,12,41.2,133,at-risk
INV001456,9,52.4,84,at-risk
INV001457,12,38.1,99,at-risk
INV001458,12,32.6,101,at-risk
INV001460,11,33.4,95,at-risk
INV001462,9,55.0,209,at-risk
INV001465,7,52.0,109,at-risk
INV001466,11,26.7,82,at-risk
INV001467,10,54.3,176,at-risk
INV001470,7,72.3,144,at-risk
INV001472,9,49.4,139,at-risk
INV001473,7,81.3,257,at-risk
INV001478,7,79.7,200,at-risk
INV001480,7,47.8,157,at-risk
INV001481,7,49.8,115,at-risk
INV001482,8,57.6,212,at-risk
INV001483,6,84.6,179,at-risk
INV001485,10,48.9,150,at-risk
INV001491,8,70.6,245,at-risk
INV001496,11,40.1,165,at-risk
INV001497,12,45.8,138,at-risk
INV001498,6,68.8,96,at-risk
INV001499,10,41.8,85,at-risk
INV001500,8,63.9,205,at-risk
INV001501,7,52.8,106,at-risk
INV001503,6,44.8,108,at-risk
INV001504,10,48.2,134,at-risk
INV001506,7,78.2,213,at-risk
INV001507,12,39.2,77,at-risk
INV001508,10,55.9,131,at-risk
INV001510,10,44.6,105,at-risk
INV001512,11,47.7,122,at-risk
INV001513,6,60.6,95,at-risk
INV001514,11,38.9,72,at-risk
INV001516,9,56.6,169,at-risk
INV001518,9,46.2,106,at-risk
INV001521,9,47.2,207,at-risk
INV001524,7,63.5,149,at-risk
INV001525,7,60.8,103,at-risk
INV001526,10,29.3,73,at-risk
INV001528,11,48.0,104,at-risk
INV001530,9,48.5,115,at-risk
INV001532,11,47.4,97,at-risk
INV001534,8,64.4,206,at-risk
INV001536,11,41.4,106,at-risk
INV001538,7,65.5,141,at-risk
INV001543,6,56.2,98,at-risk
INV001544,11,42.6,95,at-risk
INV001545,11,46.4,198,at-risk
INV001547,12,43.8,119,at-risk
INV001548,8,57.6,197,at-risk
INV001549,9,50.1,80,at-risk
INV001550,11,47.4,110,at-risk
INV001551,9,55.9,138,at-risk
INV001553,12,44.9,77,at-risk
INV001555,6,91.0,136,at-risk
INV001557,7,80.3,350,at-risk
INV001558,11,38.7,114,at-risk
INV001560,6,98.2,357,at-risk
INV001561,8,55.9,198,at-risk
INV001562,11,39.8,143,at-risk
INV001564,12,39.2,102,at-risk
INV001567,6,50.2,112,at-risk
INV001569,7,69.5,313,at-risk
INV001570,9,59.9,185,at-risk
INV001573,8,42.1,109,at-risk
INV001574,7,42.7,106,at-risk
INV001575,9,52.6,112,at-risk
INV001576,7,75.3,115,at-risk
INV001579,12,41.6,115,at-risk
INV001580,12,40.6,122,at-risk
INV001583,9,56.1,126,at-risk
INV001585,9,35.4,177,at-risk
INV001587,11,40.1,144,at-risk
INV001588,7,69.5,137,at-risk
INV001591,11,32.0,107,at-risk
INV001592,6,19.0,50,at-risk
INV001594,7,76.8,198,at-risk
INV001595,7,69.3,116,at-risk
INV001596,6,76.4,183,at-risk
INV001597,11,43.4,105,at-risk
INV001598,9,50.5,110,at-risk
INV001599,12,44.5,133,at-risk
INV001602,12,42.6,115,at-risk
INV001603,11,33.3,93,at-risk
INV001605,11,49.9,114,at-risk
INV001606,8,58.0,119,at-risk
INV001608,11,36.0,106,at-risk
INV001609,10,52.8,143,at-risk
INV001611,11,42.7,130,at-risk
INV001612,10,50.2,119,at-risk
INV001615,8,44.0,107,at-risk
INV001616,12,38.5,117,at-risk
INV001618,8,59.7,201,at-risk
INV001619,6,70.0,114,at-risk
INV001620,7,43.0,110,at-risk
INV001623,11,46.9,111,at-risk
INV001624,12,34.0,80,at-risk
INV001625,12,39.6,111,at-risk
INV001627,6,70.8,149,at-risk
INV001628,12,32.9,71,at-risk
INV001629,12,44.4,83,at-risk
INV001631,11,45.6,97,at-risk
INV001635,7,73.0,105,at-risk
INV001636,11,39.1,114,at-risk
INV001637,6,90.4,129,at-risk
INV001639,6,69.4,135,at-risk
INV001640,12,28.0,90,at-risk
INV001641,10,54.6,142,at-risk
INV001643,8,49.3,108,at-risk
INV001644,11,41.0,89,at-risk
INV001645,8,54.3,116,at-risk
INV001648,9,58.6,120,at-risk
INV001649,12,42.3,120,at-risk
INV001650,6,49.2,193,at-risk
INV001651,11,47.2,130,at-risk
INV001652,9,46.8,76,at-risk
INV001653,8,55.1,110,at-risk
INV001654,10,38.2,137,at-risk
INV001656,10,51.3,246,at-risk
INV001658,11,42.2,131,at-risk
INV001660,6,78.8,192,at-risk
INV001662,12,41.4,154,at-risk
INV001663,8,46.6,123,at-risk
INV001666,6,58.2,125,at-risk
INV001670,11,36.5,94,at-risk
INV001671,7,62.0,225,at-risk
INV001672,12,24.7,130,at-risk
INV001673,11,49.3,181,at-risk
INV001674,6,76.8,144,at-risk
INV001679,7,76.5,241,at-risk
INV001680,12,42.8,161,at-risk
INV001683,8,62.1,186,at-risk
INV001689,12,45.5,125,at-risk
INV001690,9,60.9,114,at-risk
INV001691,9,57.8,190,at-risk
INV001692,11,44.1,123,at-risk
INV001694,10,51.4,144,at-risk
INV001695,9,21.4,33,active
INV001696,6,87.8,149,at-risk
INV001697,12,45.5,174,at-risk
INV001699,8,59.4,126,at-risk
INV001701,12,45.7,120,at-risk
INV001705,9,47.6,162,at-risk
INV001706,10,43.2,115,at-risk
INV001709,8,37.0,69,at-risk
INV001711,7,65.8,189,at-risk
INV001712,8,47.6,103,at-risk
INV001713,8,45.9,87,at-risk
INV001715,8,68.3,188,at-risk
INV001718,9,52.5,146,at-risk
INV001720,8,68.4,169,at-risk
INV001721,7,81.7,208,at-risk
INV001723,7,83.7,300,at-risk
INV001724,9,52.2,116,at-risk
INV001725,11,44.6,119,at-risk
INV001728,11,35.4,131,at-risk
INV001732,6,92.2,223,at-risk
INV001735,7,79.0,234,at-risk
INV001736,7,65.0,130,at-risk
INV001737,9,42.6,174,at-risk
INV001738,12,40.1,137,at-risk
INV001739,10,46.7,67,at-risk
INV001740,10,48.8,155,at-risk
INV001741,11,45.2,201,at-risk
INV001742,9,52.4,111,at-risk
INV001743,7,44.0,176,at-risk
INV001744,12,42.8,90,at-risk
INV001746,12,32.1,130,at-risk
INV001747,8,68.9,252,at-risk
INV001748,8,39.1,115,at-risk
INV001751,8,39.1,70,at-risk
INV001752,12,37.8,91,at-risk
INV001753,12,42.8,128,at-risk
INV001757,12,35.4,121,at-risk
INV001758,10,36.2,81,at-risk
INV001759,12,40.5,91,at-risk
INV001762,8,47.6,108,at-risk
INV001763,7,59.7,114,at-risk
INV001765,8,67.6,164,at-risk
INV001769,8,70.0,166,at-risk
INV001770,8,71.1,270,at-risk
INV001771,8,64.1,131,at-risk
INV001772,10,52.8,152,at-risk
INV001775,8,29.1,65,at-risk
INV001777,11,46.1,117,at-risk
INV001778,12,40.5,108,at-risk
INV001780,6,54.8,88,at-risk
INV001782,10,52.0,130,at-risk
INV001783,9,58.9,183,at-risk
INV001784,11,39.8,154,at-risk
INV001787,6,60.0,158,at-risk
INV001790,10,44.6,169,at-risk
INV001792,6,58.4,126,at-risk
INV001794,9,45.6,113,at-risk
INV001796,7,73.5,182,at-risk
INV001797,11,47.8,132,at-risk
INV001798,6,54.0,118,at-risk
INV001799,7,73.2,140,at-risk
INV001800,11,42.0,94,at-risk
INV001801,6,68.6,128,at-risk
INV001802,10,49.0,98,at-risk
INV001803,9,36.9,82,at-risk
INV001804,11,42.9,90,at-risk
INV001805,6,62.2,139,at-risk
INV001806,11,47.7,123,at-risk
INV001809,7,79.7,129,at-risk
INV001810,11,45.3,99,at-risk
INV001811,12,44.8,196,at-risk
INV001813,8,63.0,191,at-risk
INV001814,10,44.9,87,at-risk
INV001815,7,60.3,229,at-risk
INV001816,11,41.5,94,at-risk
INV001820,11,40.5,143,at-risk
INV001822,8,23.3,64,at-risk
INV001823,12,37.0,109,at-risk
INV001824,6,91.2,255,at-risk
INV001825,10,46.6,102,at-risk
INV001826,9,33.1,112,at-risk
INV001827,6,95.0,234,at-risk
INV001828,8,44.4,91,at-risk
INV001829,7,67.5,170,at-risk
INV001831,9,45.5,178,at-risk
INV001832,8,60.0,126,at-risk
INV001833,7,41.8,163,at-risk
INV001834,7,62.0,178,at-risk
INV001835,6,78.0,168,at-risk
INV001836,11,37.2,87,at-risk
INV001837,12,42.3,74,at-risk
INV001841,9,35.1,112,at-risk
INV001842,10,47.4,165,at-risk
INV001843,9,50.6,139,at-risk
INV001844,9,51.6,197,at-risk
INV001848,9,60.1,202,at-risk
INV001849,6,84.8,169,at-risk
INV001851,8,56.1,180,at-risk
INV001852,8,71.7,187,at-risk
INV001853,12,30.2,68,at-risk
INV001856,8,53.6,151,at-risk
INV001857,11,45.1,138,at-risk
INV001858,11,47.3,231,at-risk
INV001859,7,82.5,182,at-risk
INV001861,10,39.8,112,at-risk
INV001865,9,47.6,145,at-risk
INV001866,8,46.1,88,at-risk
INV001867,6,89.6,279,at-risk
INV001868,6,91.6,181,at-risk
INV001870,8,65.1,164,at-risk
INV001871,12,42.6,104,at-risk
INV001874,10,52.3,166,at-risk
INV001875,7,73.0,286,at-risk
INV001877,7,54.8,123,at-risk
INV001879,9,58.5,112,at-risk
INV001880,9,49.1,99,at-risk
INV001881,6,74.6,140,at-risk
INV001883,8,70.9,203,at-risk
INV001885,12,45.1,128,at-risk
INV001886,10,45.1,129,at-risk
INV001887,7,78.0,157,at-risk
INV001888,8,65.4,176,at-risk
INV001890,7,85.5,207,at-risk
INV001891,9,60.2,225,at-risk
INV001893,6,54.6,132,at-risk
INV001895,8,61.6,102,at-risk
INV001896,6,47.0,145,at-risk
INV001897,7,52.8,101,at-risk
INV001899,8,69.3,154,at-risk
INV001903,10,38.2,101,at-risk
INV001909,10,48.3,106,at-risk
INV001912,11,45.4,123,at-risk
INV001913,6,64.6,156,at-risk
INV001914,10,42.2,89,at-risk
INV001916,10,45.9,118,at-risk
INV001917,8,40.4,106,at-risk
INV001920,11,30.0,66,at-risk
INV001921,12,43.6,107,at-risk
INV001922,7,68.7,231,at-risk
INV001923,12,44.0,89,at-risk
INV001924,9,60.9,132,at-risk
INV001926,11,46.4,107,at-risk
INV001927,9,42.2,59,at-risk
INV001928,6,83.8,304,at-risk
INV001929,10,45.1,152,at-risk
INV001930,6,97.0,262,at-risk
INV001933,8,61.7,139,at-risk
INV001937,11,48.3,152,at-risk
INV001938,12,32.9,112,at-risk
INV001940,8,56.1,150,at-risk
INV001943,7,62.0,171,at-risk
INV001944,10,45.2,168,at-risk
INV001945,8,46.6,103,at-risk
INV001946,6,56.6,106,at-risk
INV001950,12,44.1,99,at-risk
INV001951,10,47.1,98,at-risk
INV001954,9,54.2,187,at-risk
INV001955,8,54.3,103,at-risk
INV001956,7,79.3,160,at-risk
INV001959,9,53.8,107,at-risk
INV001961,8,65.9,222,at-risk
INV001962,6,70.6,177,at-risk
INV001967,8,25.9,92,at-risk
INV001969,11,45.1,120,at-risk
INV001970,7,67.7,137,at-risk
INV001971,11,38.3,87,at-risk
INV001972,12,35.0,142,at-risk
INV001974,11,35.7,86,at-risk
INV001975,6,78.2,159,at-risk
INV001977,9,56.8,184,at-risk
INV001978,7,76.2,112,at-risk
INV001979,11,42.0,134,at-risk
INV001982,8,61.3,161,at-risk
INV001983,8,68.7,203,at-risk
INV001985,7,70.8,192,at-risk
INV001986,9,38.2,68,at-risk
INV001987,11,40.2,144,at-risk
INV001990,12,40.6,130,at-risk
INV001993,11,44.7,87,at-risk
INV001995,9,43.8,94,at-risk
INV001997,9,59.2,168,at-risk
INV001998,12,42.9,98,at-risk
INV001999,12,29.9,78,at-risk
INV002000,7,53.3,132,at-risk
INV002001,9,53.0,141,at-risk
INV002003,7,41.3,69,at-risk
INV002005,7,54.5,91,at-risk
INV002006,8,52.6,122,at-risk
INV002008,10,39.2,95,at-risk
INV002010,8,69.3,112,at-risk
INV002011,9,59.8,129,at-risk
INV002012,7,69.2,144,at-risk
INV002013,8,57.6,100,at-risk
INV002017,9,49.2,99,at-risk
INV002018,11,44.1,104,at-risk
INV002019,8,65.0,117,at-risk
INV002021,7,46.2,72,at-risk
INV002022,7,52.0,89,at-risk
INV002025,7,55.8,92,at-risk
INV002026,6,85.4,161,at-risk
INV002030,8,71.7,251,at-risk
INV002033,11,38.9,112,at-risk
INV002034,12,46.0,103,at-risk
INV002035,11,39.0,94,at-risk
INV002036,12,28.0,160,at-risk
INV002037,10,37.7,173,at-risk
INV002038,9,52.5,116,at-risk
INV002039,11,46.1,102,at-risk
INV002040,10,50.8,111,at-risk
INV002041,6,52.8,95,at-risk
INV002042,10,46.7,198,at-risk
INV002044,8,53.7,118,at-risk
INV002045,9,60.0,165,at-risk
INV002049,7,66.2,174,at-risk
INV002051,10,43.7,153,at-risk
INV002052,9,33.1,82,at-risk
INV002055,8,69.0,239,at-risk
INV002056,7,80.7,205,at-risk
INV002060,7,63.8,197,at-risk
INV002061,7,80.5,205,at-risk
INV002066,6,81.8,130,at-risk
INV002067,9,53.4,130,at-risk
INV002069,11,42.8,86,at-risk
INV002070,11,48.8,118,at-risk
INV002074,6,55.4,104,at-risk
INV002075,6,66.2,126,at-risk
INV002077,6,76.2,192,at-risk
INV002080,9,60.0,95,at-risk
INV002083,11,46.5,193,at-risk
INV002085,7,54.2,191,at-risk
INV002087,6,70.6,126,at-risk
INV002088,8,68.3,182,at-risk
INV002090,10,53.6,144,at-risk
INV002092,10,38.1,81,at-risk
INV002093,8,36.6,82,at-risk
INV002095,11,43.5,96,at-risk
INV002096,6,63.8,202,at-risk
INV002098,9,51.6,131,at-risk
INV002099,8,71.3,268,at-risk
INV002101,12,38.0,120,at-risk
INV002102,9,46.9,130,at-risk
INV002104,10,44.8,135,at-risk
INV002107,10,55.3,249,at-risk
INV002109,8,25.9,79,at-risk
INV002110,7,46.3,121,at-risk
INV002111,12,42.3,101,at-risk
INV002112,9,49.1,147,at-risk
INV002113,6,80.8,201,at-risk
INV002114,8,48.7,162,at-risk
INV002115,8,65.7,106,at-risk
INV002116,10,30.1,53,at-risk
INV002117,8,63.9,208,at-risk
INV002119,10,47.4,195,at-risk
INV002121,9,51.4,88,at-risk
INV002122,8,45.1,97,at-risk
INV002123,7,67.0,97,at-risk
INV002124,10,52.1,169,at-risk
INV002125,6,36.0,88,at-risk
INV002126,7,71.0,153,at-risk
INV002127,8,47.0,92,at-risk
INV002128,6,87.6,170,at-risk
INV002130,6,62.6,94,at-risk
INV002131,8,65.9,129,at-risk
INV002133,6,89.8,272,at-risk
INV002134,12,45.1,102,at-risk
INV002135,10,55.8,139,at-risk
INV002137,10,31.7,125,at-risk
INV002138,8,65.6,177,at-risk
INV002139,8,66.7,170,at-risk
INV002141,7,44.8,84,at-risk
INV002142,10,52.4,162,at-risk
INV002143,12,40.5,148,at-risk
INV002149,11,31.9,215,at-risk
INV002150,6,73.6,216,at-risk
INV002151,10,53.7,201,at-risk
INV002152,8,67.4,126,at-risk
INV002153,10,45.2,133,at-risk
INV002154,12,44.9,175,at-risk
INV002155,8,59.7,140,at-risk
INV002157,12,40.9,86,at-risk
INV002158,9,61.4,142,at-risk
INV002159,8,46.4,104,at-risk
INV002161,8,64.1,264,at-risk
INV002162,10,51.9,198,at-risk
INV002164,7,58.2,89,at-risk
INV002165,7,82.2,156,at-risk
INV002166,7,82.7,248,at-risk
INV002167,9,39.1,77,at-risk
INV002170,7,65.8,150,at-risk
INV002171,7,55.8,150,at-risk
INV002174,6,86.0,143,at-risk
INV002176,7,81.3,185,at-risk
INV002177,11,43.8,141,at-risk
INV002178,11,46.5,236,at-risk
INV002179,11,42.3,171,at-risk
INV002181,6,72.2,164,at-risk
INV002182,12,40.1,146,at-risk
INV002184,11,47.5,167,at-risk
INV002185,10,28.8,92,at-risk
INV002186,10,49.9,112,at-risk
INV002187,12,44.2,122,at-risk
INV002188,9,28.5,85,at-risk
INV002189,12,43.6,153,at-risk
INV002192,10,40.7,95,at-risk
INV002195,10,48.8,154,at-risk
INV002196,10,56.7,115,at-risk
INV002198,12,33.6,90,at-risk
INV002199,9,38.1,83,at-risk
INV002200,6,83.6,291,at-risk
INV002201,10,44.4,136,at-risk
INV002202,10,54.8,143,at-risk
INV002205,6,87.4,243,at-risk
INV002206,11,43.8,107,at-risk
INV002207,7,73.0,252,at-risk
INV002208,11,42.8,129,at-risk
INV002211,10,42.6,109,at-risk
INV002212,8,58.4,158,at-risk
INV002213,9,36.6,121,at-risk
INV002214,12,42.1,82,at-risk
INV002215,10,53.9,122,at-risk
INV002216,10,48.0,128,at-risk
INV002218,8,52.6,147,at-risk
INV002219,11,49.9,142,at-risk
INV002220,11,31.3,67,at-risk
INV002223,6,82.6,259,at-risk
INV002228,9,42.9,86,at-risk
INV002229,10,44.7,101,at-risk
INV002230,11,43.4,114,at-risk
INV002232,12,38.5,174,at-risk
INV002234,8,47.4,96,at-risk
INV002235,7,69.8,137,at-risk
INV002236,9,55.2,119,at-risk
INV002237,10,41.8,142,at-risk
INV002238,7,78.7,161,at-risk
INV002239,7,75.5,131,at-risk
INV002240,12,42.5,118,at-risk
INV002241,11,47.8,124,at-risk
INV002244,10,50.6,129,at-risk
INV002245,12,37.3,146,at-risk
INV002248,7,47.2,73,at-risk
INV002249,10,31.4,109,at-risk
INV002250,12,44.4,114,at-risk
INV002251,7,52.2,114,at-risk
INV002252,11,35.9,89,at-risk
INV002256,6,75.6,115,at-risk
INV002258,8,54.0,165,at-risk
INV002259,11,39.6,124,at-risk
INV002260,11,44.1,129,at-risk
INV002261,8,46.9,147,at-risk
INV002262,8,29.0,58,at-risk
INV002264,8,53.9,197,at-risk
INV002265,10,46.0,119,at-risk
INV002267,10,51.8,149,at-risk
INV002270,11,44.6,105,at-risk
INV002271,6,47.0,102,at-risk
INV002274,10,46.6,125,at-risk
INV002275,10,43.7,77,at-risk
INV002276,10,46.6,85,at-risk
INV002277,12,38.5,96,at-risk
INV002280,10,51.1,182,at-risk
INV002281,6,96.6,162,at-risk
INV002282,12,30.3,102,at-risk
INV002284,12,40.7,87,at-risk
INV002286,8,55.3,202,at-risk
INV002287,6,50.2,193,at-risk
INV002290,10,37.4,97,at-risk
INV002292,11,39.9,126,at-risk
INV002294,10,42.9,163,at-risk
INV002295,12,42.7,126,at-risk
INV002298,9,44.4,165,at-risk
INV002299,7,53.5,122,at-risk
INV002302,9,39.2,93,at-risk
INV002304,12,34.8,57,at-risk
INV002306,8,69.6,270,at-risk
INV002307,6,68.4,127,at-risk
INV002308,11,40.2,74,at-risk
INV002310,6,58.2,97,at-risk
INV002311,11,46.8,105,at-risk
INV002315,12,39.2,163,at-risk
INV002319,11,36.0,123,at-risk
INV002322,9,39.6,100,at-risk
INV002323,7,56.5,161,at-risk
INV002324,8,40.1,96,at-risk
INV002326,10,45.9,156,at-risk
INV002327,11,45.5,96,at-risk
INV002328,7,68.5,98,at-risk
INV002329,12,35.9,88,at-risk
INV002332,8,60.1,170,at-risk
INV002333,6,72.4,173,at-risk
INV002338,7,82.8,178,at-risk
INV002339,6,61.2,124,at-risk
INV002341,6,47.4,80,at-risk
INV002342,9,49.5,174,at-risk
INV002343,12,42.0,90,at-risk
INV002344,8,62.6,166,at-risk
INV002345,8,49.1,151,at-risk
INV002346,6,86.6,146,at-risk
INV002347,9,40.5,79,at-risk
INV002348,12,44.3,120,at-risk
INV002349,10,42.9,77,at-risk
INV002350,10,53.7,132,at-risk
INV002351,12,43.1,117,at-risk
INV002353,9,51.8,124,at-risk
INV002357,12,39.1,139,at-risk
INV002360,12,40.8,91,at-risk
INV002361,10,49.9,166,at-risk
INV002363,9,59.1,126,at-risk
INV002364,8,54.0,106,at-risk
INV002365,10,51.3,127,at-risk
INV002367,8,51.3,134,at-risk
INV002368,12,33.4,141,at-risk
INV002369,10,52.6,111,at-risk
INV002370,8,60.1,225,at-risk
INV002372,9,59.5,121,at-risk
INV002373,12,44.6,111,at-risk
INV002374,11,39.9,99,at-risk
INV002378,6,67.2,108,at-risk
INV002381,6,77.2,125,at-risk
INV002382,8,38.6,77,at-risk
INV002384,12,36.4,86,at-risk
INV002387,10,57.0,174,at-risk
INV002388,9,43.9,155,at-risk
INV002389,12,41.5,126,at-risk
INV002390,7,71.3,193,at-risk
INV002391,10,23.7,74,at-risk
INV002392,6,82.0,122,at-risk
INV002393,9,49.8,171,at-risk
INV002394,7,53.8,126,at-risk
INV002395,6,97.0,225,at-risk
INV002397,7,51.7,129,at-risk
INV002399,12,40.4,125,at-risk
INV002400,12,44.5,141,at-risk
INV002401,11,41.4,125,at-risk
INV002402,10,47.4,136,at-risk
INV002407,10,46.3,152,at-risk
INV002409,12,35.4,119,at-risk
INV002412,7,75.5,115,at-risk
INV002413,11,41.1,189,at-risk
INV002414,7,84.5,348,at-risk
INV002415,11,40.2,110,at-risk
INV002416,9,62.2,192,at-risk
INV002417,10,55.6,190,at-risk
INV002418,8,65.4,119,at-risk
INV002420,12,43.0,109,at-risk
INV002422,12,41.2,139,at-risk
INV002424,6,53.0,109,at-risk
INV002426,6,68.2,148,at-risk
INV002427,9,32.5,70,at-risk
INV002429,8,56.1,125,at-risk
INV002430,11,46.0,139,at-risk
INV002431,8,66.0,96,at-risk
INV002434,7,73.5,133,at-risk
INV002437,10,32.8,140,at-risk
INV002440,6,74.6,135,at-risk
INV002444,8,34.1,104,at-risk
INV002445,11,34.9,113,at-risk
INV002446,6,83.8,152,at-risk
INV002452,7,47.2,99,at-risk
INV002453,11,37.8,87,at-risk
INV002454,7,46.3,121,at-risk
INV002458,11,36.2,95,at-risk
INV002459,12,42.2,91,at-risk
INV002461,6,87.8,156,at-risk
INV002463,7,79.5,232,at-risk
INV002464,7,33.0,97,at-risk
INV002466,12,44.0,108,at-risk
INV002467,10,42.6,111,at-risk
INV002468,7,55.2,117,at-risk
INV002469,10,41.9,121,at-risk
INV002471,11,34.9,98,at-risk
INV002472,10,47.1,113,at-risk
INV002473,8,62.0,320,at-risk
INV002475,11,44.7,119,at-risk
INV002476,9,53.8,104,at-risk
INV002483,8,61.3,180,at-risk
INV002485,12,33.7,74,at-risk
INV002486,9,47.5,129,at-risk
INV002488,7,58.3,111,at-risk
INV002490,10,54.4,125,at-risk
INV002495,10,51.3,174,at-risk
INV002496,7,44.2,85,at-risk
INV002497,12,42.8,146,at-risk
INV002499,8,56.4,101,at-risk
INV002500,12,43.2,130,at-risk
INV002502,7,77.0,222,at-risk
INV002503,9,47.5,140,at-risk
INV002504,10,53.0,188,at-risk
INV002506,8,55.0,81,at-risk
INV002507,6,83.2,159,at-risk
INV002508,9,51.6,171,at-risk
INV002509,12,29.0,74,at-risk
INV002510,12,45.5,121,at-risk
INV002520,12,43.1,118,at-risk
INV002521,8,56.4,126,at-risk
INV002523,12,45.6,133,at-risk
INV002526,11,42.1,136,at-risk
INV002527,11,29.8,72,at-risk
INV002528,6,74.4,241,at-risk
INV002529,6,81.6,202,at-risk
INV002530,9,62.5,175,at-risk
INV002531,10,50.9,135,at-risk
INV002533,7,60.7,134,at-risk
INV002535,11,36.1,78,at-risk
INV002536,6,71.8,198,at-risk
INV002540,6,67.6,173,at-risk
INV002542,9,57.8,84,at-risk
INV002543,12,40.7,92,at-risk
INV002546,10,55.9,88,at-risk
INV002547,10,49.4,104,at-risk
INV002548,7,79.8,226,at-risk
INV002549,9,60.1,186,at-risk
INV002551,8,59.4,164,at-risk
INV002552,12,39.5,85,at-risk
INV002553,12,34.0,92,at-risk
INV002554,8,68.6,182,at-risk
INV002555,10,53.8,117,at-risk
INV002556,6,72.6,134,at-risk
INV002557,9,50.4,264,at-risk
INV002558,11,48.8,96,at-risk
INV002560,7,79.3,127,at-risk
INV002563,10,52.7,124,at-risk
INV002565,10,55.3,172,at-risk
INV002566,8,61.3,127,at-risk
INV002567,11,46.9,107,at-risk
INV002568,9,53.9,144,at-risk
INV002570,12,37.1,150,at-risk
INV002571,8,63.9,165,at-risk
INV002572,11,44.7,108,at-risk
INV002574,12,43.7,139,at-risk
INV002575,11,44.9,128,at-risk
INV002576,8,40.4,160,at-risk
INV002579,7,34.0,71,at-risk
INV002582,10,43.0,93,at-risk
INV002583,7,65.3,118,at-risk
INV002585,12,42.7,74,at-risk
INV002586,7,72.7,168,at-risk
INV002587,6,75.0,271,at-risk
INV002588,9,53.4,123,at-risk
